Student ID,Name,Class,Marks,Family Background,Family Educational Background,Attendance (%),Behavior,Viva Performance,Submission,Certification,Achievements,Hobby,Academic Attributes,Behavioral Attributes,Socioeconomic Attributes,Psychological and Emotional,Technology Usage,Peer Interactions,Cognitive Attributes,Communication Skills,Learning Progression
91,Neha Deshmukh,11,,,Both parents college graduates,82.0,,Average,Late,No,Best Art Project,Traveling,Marks: 70,,Socioeconomic: Lower class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
92,Ananya Kulkarni,10,65.0,Upper-middle class,Both parents college graduates,84.0,Average,Poor,Late,Yes,Sports Captain,,Marks: 65,Time Management: Good,Socioeconomic: Upper-middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
93,Rahul More,9,,,Father high school graduate,,Average,,On time,No,Science Fair Winner,,Marks: 82,,Socioeconomic: Middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
94,Aishwarya Sawant,10,87.0,Lower class,Father high school graduate,76.0,,,Late,No,Best Art Project,Painting,Marks: 87,Time Management: Good,Socioeconomic: Lower class,"Stress: Low, Confidence: High",,Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
95,Priya Patil,10,97.0,Upper class,Mother high school graduate,100.0,Good,,,Yes,Sports Captain,Dancing,Marks: 97,Time Management: Good,Socioeconomic: Upper class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
96,Meera Bhosale,12,89.0,Upper-middle class,Both parents college graduates,81.0,Good,Excellent,Late,Yes,Participated in Debate,Playing Tennis,,Time Management: Good,,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
97,Aishwarya Sawant,10,,Lower class,Father high school graduate,97.0,Poor,,On time,No,Science Fair Winner,Traveling,Marks: 82,Time Management: Good,Socioeconomic: Lower class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
98,Aishwarya Sawant,11,71.0,Upper class,Father high school graduate,86.0,Good,Excellent,Late,,Top in Math Contest,Playing Guitar,Marks: 71,Time Management: Good,Socioeconomic: Upper class,,"EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
99,Meera Bhosale,12,79.0,Upper-middle class,Mother high school graduate,87.0,Excellent,,On time,No,Participated in Debate,Playing Guitar,Marks: 79,Time Management: Good,Socioeconomic: Upper-middle class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",Group Work: Excellent,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
100,Arjun Joshi,10,66.0,Lower class,Both parents college graduates,,Poor,Poor,,No,Participated in Debate,Playing Tennis,Marks: 66,Time Management: Good,Socioeconomic: Lower class,"Stress: Low, Confidence: High","EdTech: High, Internet: Yes",,Critical Thinking: Strong,Communication: Excellent,Improvement: Steady
